age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
												AY	1		TIMES		864.8	2037.6	3071.2	110.1	204.1	350.3	215.09	215.084	215.174	0.09	41	4	1	2	3	3		s								862	2034.3	848.2	2068.1	838.2	2147.1	823.2	2224.1	811	2213	5	853	2071	3010	41.4123	1	times	215.115
												AO	1		SMALLER		831.5	1279.1	1623.1	173.1	155.7	850.6	216.215	216.192	216.262	0.07	53	5	4	2	2	1										829.9	1255.7	830.6	1284.8	824.5	1312.6	843.2	1283.3	858.6	1213.7	6	894	1357	3414	53.54201	1	smaller	216.2432
												AY	1		SIGHTSEE		754.1	1879	2937.9	112.9	153.9	288.9	217.357	217.326	217.426	0.1	47	1	4	1	3	4										739.7	1733.2	750.1	1938.2	674.8	2155.4	624.2	2292.7	676.9	2387.4	5	786	1976	2991	47.14134	1	sightsee	217.3614
												IY	1		SIGHTSEE		579.7	2537.5	3148.7	392.5	330.5	479.1	217.612	217.565	217.705	0.14	12	0	0	0	3	0										611.8	2333.2	591.9	2549.4	679.2	2641.2	696.5	2640.3	674.7	2615.1	4	638	2405	3005	12.0003	1	(sight)see	217.595
												OW	1		NO		859.7	1773.6	2145	85.2	188.1	1259.1	225.089	225.076	225.206	0.13	63	0	0	0	4	0										876.3	1680.3	873.9	1545.9	865.5	1491.9	858.5	1431.9	824.8	1369.7	6	907	1698	3024	62.0004	1	no	225.1093
												AA	1		CHICAGO		957.1	1789	2686.6	121.8	143.2	170.7	225.429	225.406	225.476	0.07	43	1	6	2	6	1										963.5	1751.4	952.1	1797.4	908.1	1831.1	831.5	1846.9	740.2	1841.9	5	970	1741	2692	43.16201	1	(Chi)cago	225.4169
												EH	1		AIRPORT		655.6	2116.6	2467.6	69.3	140.7	188.4	226.616	226.586	226.676	0.09	2	6	4	2	0	4										644.3	2231	657	2108.5	668.4	1989.5	666.2	1882.5	653.2	1752	5	637	2492	2897	24.60001	1	airport	226.5694
												AO	2		AIRPORT		653.2	1042	2290.8	130.4	117.3	124.5	226.813	226.786	226.866	0.08	64	6	4	2	1	3										671	1021.3	652.2	1044.2	655.9	1090.5	670.6	1171.2	688.2	1255.7	5	636	1047	2252	64.6001	1	(air)port	226.8201
												AY	1		TYPE		749.9	1940.2	3087.2	250.6	410.2	414.6	227.778	227.777	227.857	0.08	47	1	1	1	3	0		s								724.5	1924.8	695.3	2012.4	649.6	2073	603.4	2134.1	582.3	2157.5	4	694	1951	2944	47.1113	1	type	227.8016
												AH	1		NOTHING		893.3	1648.4	1942.9	154.7	163.2	675.8	228.45	228.426	228.497	0.071	6	3	3	1	4	1										886.3	1680.7	894	1645.2	903.4	1615.1	896.5	1596.7	862.1	1565.4	6	1007	1697	3218	6.3314	1	nothing	228.454
