vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
AA	1	GOTTEN	711.2	1642.5	2733.7	143.6	159.3	635.5	163.502	163.472	163.562	0.09	5	1	4	1	6	1			679.8	1720.7	712.8	1635.7	720.4	1554.8	722.4	1520.9	730.3	1524.8	4		719	1572	2636	5.14161	1	gotten	163.512
IH	1	BIG	464.4	1759.6	2747.2	94.8	59.5	226.0	163.993	163.963	164.052	0.089	1	1	6	2	1	0			453.1	1751.2	464.9	1760.5	467.3	1782.6	466.5	1814.3	459.4	1850.3	4		471	1817	2779	1.1621	1	big	164.0191
AH	1	COUPLE	641.9	1216.2	2370.7	95.1	84.0	391.6	164.609	164.582	164.663	0.081	6	1	1	1	6	1			641.8	1269.7	642.0	1212.7	636.0	1154.7	610.5	1068.5	561.9	964.3	5		662	1196	2859	6.11101	1	couple	164.6189
IH	1	BIG	443.9	1759.7	2371.0	68.1	67.5	416.4	165.798	165.781	165.831	0.05	1	1	6	2	1	0			444.8	1731.7	443.9	1759.7	439.4	1808.1	431.9	1841.8	424.0	1871.2	5		458	1822	2671	1.1621	1	big	165.8026
ER	1	THURSDAY	437.4	1489.5	1783.9	94.4	97.6	94.9	166.377	166.34	166.451	0.111	94	3	4	2	3	4			452.7	1490.0	435.5	1490.3	419.4	1429.3	415.3	1531.6	414.2	1542.1	6		412	1474	1739	94.60034	1	Thursday	166.3924
AY	1	NIGHT	665.9	1386.2	2479.9	87.6	117.3	368.7	166.703	166.65	166.79	0.14	47	1	4	1	4	0			648.0	1400.3	664.4	1379.8	655.7	1428.9	646.0	1551.0	607.8	1671.5	5		664	1375	2483	47.1414	1	night	166.7029
AY	1	NIGHT	626.4	1563.3	1738.1	65.8	134.5	1311.1	168.499	168.477	168.576	0.099	47	1	4	1	4	0		m	625.7	1557.4	616.1	1588.6	583.3	1417.7	539.9	1278.1	494.8	1449.4	6		646	1566	2343	47.1414	1	night	168.4992
IY	1	PEOPLE	380.7	1981.9	3242.3	165.4	140.0	842.0	168.68	168.656	168.727	0.071	11	1	1	1	1	1			512.6	2051.9	379.3	1980.3	378.6	1969.0	486.0	1950.9	809.0	2023.8	4		378	1965	2797	11.11111	1	people	168.6944
IY	0	REALLY	463.5	1740.5	2455.6	100.5	81.3	400.5	168.973	168.956	169.007	0.051	12	0	0	0	7	0			469.2	1701.5	461.9	1749.0	443.4	1808.7	416.2	1879.5	394.7	1930.3	5		444	1559	1954	11.54271	1	really	168.9166
AW	1	OUT	667.6	1217.4	3066.4	59.5	114.1	895.7	169.251	169.206	169.386	0.18	42	1	4	1	0	0			667.3	1229.8	675.1	1214.5	686.9	1214.4	674.8	1192.5	662.4	1325.3	4		679	1212	2873	42.141	1	out	169.2613
AE	1	SARANAC	531.8	1592.3	1943.6	71.1	133.3	1217.1	175.153	175.136	175.187	0.051	3	6	4	2	3	2			529.9	1586.0	532.0	1590.9	531.3	1581.3	529.0	1572.5	526.9	1568.6	6		543	1603	2467	3.60032	1	Saranac	175.1474
AE	2	SARANAC	629.8	1759.2	2311.8	80.0	121.6	1091.0	175.299	175.276	175.346	0.07	3	1	6	1	4	0			611.9	1737.6	631.4	1764.4	633.1	1802.5	619.8	1854.1	596.6	1888.7	5		637	1798	2288	3.1614	1	(Sara)nac	175.3126
ER	1	THURSDAYS	446.8	1493.5	1926.3	84.8	121.3	196.5	175.536	175.496	175.616	0.12	94	3	4	2	3	4			471.4	1480.6	444.7	1495.3	432.7	1503.1	421.4	1505.2	423.6	1510.0	6		414	1486	1792	94.60034	1	Thursdays	175.5576
IH	1	BIG	413.4	1839.3	2526.3	42.5	274.2	427.1	176.523	176.506	176.556	0.05	1	1	6	2	1	0			410.4	1795.3	413.4	1839.3	415.7	1892.5	412.1	1963.9	404.7	2006.7	5		422	1963	2626	1.1621	1	big	176.5362
AY	1	NIGHT	571.4	1652.1	2402.6	165.9	201.7	355.0	176.747	176.697	176.797	0.1	47	1	4	1	4	0		m	513.6	1499.3	540.7	1559.5	571.4	1652.1	561.2	1692.9	542.4	1707.5	5		574	1682	2394	47.1414	1	night	176.7528
AW	1	OUT	745.0	1513.9	2367.4	130.4	200.5	545.2	176.889	176.857	176.997	0.14	42	1	4	1	0	0			737.8	1522.9	738.4	1477.5	739.6	1442.1	668.2	1341.2	642.8	1230.2	6		704	1497	2430	42.141	1	out	176.9038
AY	1	I	830.3	1453.7	3019.8	117.7	152.6	504.4	188.308	188.218	188.398	0.18	41	0	0	0	0	0		s	837.6	1350.8	808.9	1356.7	830.3	1453.7	805.1	1590.1	713.0	1636.9	4		808	1437	2679	41.0006	1	I	188.314
OW	1	KNOW	609.1	1319.2	2031.8	125.1	91.4	476.2	188.574	188.567	188.727	0.16	63	0	0	0	4	0			615.7	1287.5	610.8	1240.6	611.0	1185.2	588.5	1146.7	589.2	1193.2	5		615	1250	2140	62.0004	1	know	188.6189
IH	1	SPECIFIC	540.8	1582.2	2533.3	103.8	100.9	565.3	189.327	189.307	189.367	0.06	1	3	2	1	3	1			529.1	1567.7	543.5	1584.4	560.7	1600.3	563.3	1629.1	550.0	1636.5	5		559	1585	2569	1.32131	1	(spe)cific	189.3339
IH	1	SYRACUSE	478.1	1744.0	3330.3	85.5	196.8	970.7	191.643	191.626	191.676	0.05	14	6	4	2	3	2			473.1	1751.4	478.1	1744.0	486.8	1740.9	491.3	1738.4	491.1	1746.2	4		467	1707	2724	1.60032	1	Syracuse	191.6388
