v	N	f1_man_mean	f1_auto_mean	f1_diff	f2_man_mean	f2_auto_mean	f2_diff	f1_man_sd	f1_auto_sd	f2_man_sd	f2_auto_sd	f1_rmse	f2_rmse	f1_diff_mean	f1_diff_sd	f2_diff_mean	f2_diff_sd	f1_abs_diff_mean	f1_abs_diff_sd	f2_abs_diff_mean	f2_abs_diff_sd	f1_p	f1_t	f2_p	f2_t	f1_p_paired	f1_t_paired	f2_p_paired	f2_t_paired	f1_r	f2_r
AW_E	9	934	899.8556	34.14444	1509.889	1638.411	128.5222	36.27327	34.87883	116.4962	165.6302	37.96819	199.5143	34.14444	17.61272	-128.5222	161.8611	34.14444	17.61272	157.8778	129.3856	0.05873078	2.035566	0.07713615	-1.904068	0.0003979041	5.815874	0.04440101	-2.382084	0.8781731	0.3836617
AW_R	2	898	887.45	10.55	1476.5	1525.8	49.3	1.414214	18.45549	38.89087	33.0926	16.01577	70.86113	10.55	17.04127	-49.3	71.98347	12.05	14.91995	50.9	69.72073	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IH_R	8	517	523.8	6.8	2200.5	2202.075	1.575	51.67481	52.97476	263.7515	264.6109	19.01973	115.3011	-6.8	18.98902	-1.575	123.2506	13.875	13.90722	89.35	77.90786	0.7987302	-0.259895	0.9906548	-0.01192362	0.3448476	-1.012865	0.9721766	-0.03614402	0.9344478	0.8911761
AA_L	3	910	923	13	1596.667	1624.233	27.56667	39.58535	51.42947	85.6524	57.30143	18.44794	41.36774	-13	16.03091	-27.56667	37.77636	13.2	15.78385	37.9	20.30566	NA	NA	NA	NA	NA	NA	NA	NA	0.9713371	0.9365042
IY_N	4	530	470.525	59.475	2685.25	2668.725	16.525	44.21161	21.84023	222.8144	238.4418	71.02832	24.13685	59.475	44.83669	16.525	20.31459	59.475	44.83669	21.675	12.26278	NA	NA	NA	NA	NA	NA	NA	NA	0.2181736	0.9984145
AY_R	1	745	744.5	0.5	1727	1710.6	16.4	NA	NA	NA	NA	0.5	16.4	0.5	NA	16.4	NA	0.5	NA	16.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AH_E	18	824.5556	815.1889	9.366667	1364.222	1400.6	36.37778	64.66131	50.04269	184.1929	197.3292	40.32854	79.65076	9.366667	40.36293	-36.37778	72.9126	28.61111	29.24573	53.27778	60.9257	0.6302621	0.4860255	0.5712661	-0.5717558	0.3386502	0.984552	0.04933176	-2.116751	0.7812828	0.9292412
EH_L	2	828.5	755	73.5	1246.5	1708.45	461.95	84.14571	80.04449	423.557	14.07142	137.4098	556.019	73.5	164.1902	-461.95	437.6284	116.1	103.9447	461.95	437.6284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UH_E	5	580.4	554.1	26.3	1033.4	1087.1	53.7	57.42212	34.79411	90.18481	133.32	39.62416	99.34199	26.3	33.13578	-53.7	93.44209	31.42	26.99207	85.58	56.40139	0.4118801	0.8758952	0.479867	-0.7460129	0.1505985	1.774776	0.2681404	-1.28504	0.8533615	0.7142756
IH_L	1	533	512.3	20.7	1360	1904.9	544.9	NA	NA	NA	NA	20.7	544.9	20.7	NA	-544.9	NA	20.7	NA	544.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AW_N	6	869	856.0667	12.93333	1716	1767.917	51.91667	133.0834	121.8547	251.0673	240.5324	58.78991	247.2438	12.93333	62.82339	-51.91667	264.8037	47.73333	37.5944	166.65	200.0718	0.8641642	0.175568	0.7221827	-0.3657515	0.6355007	0.5042718	0.6513307	-0.4802401	0.8821998	0.4203493
IY_L	2	429.5	432.7	3.2	2187	2402.2	215.2	10.6066	32.24407	134.3503	84.42855	15.63106	265.0342	-3.2	21.63747	-215.2	218.7788	15.3	4.525483	215.2	218.7788	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OW_L	1	676	671.3	4.7	1302	1427.3	125.3	NA	NA	NA	NA	4.7	125.3	4.7	NA	-125.3	NA	4.7	NA	125.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OY_E	1	534	504.3	29.7	1027	999.2	27.8	NA	NA	NA	NA	29.7	27.8	29.7	NA	27.8	NA	29.7	NA	27.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AO_N	1	827	924.7	97.7	1159	1153.2	5.8	NA	NA	NA	NA	97.7	5.8	-97.7	NA	5.8	NA	97.7	NA	5.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
