v	N	f1_man_mean	f1_auto_mean	f1_diff	f2_man_mean	f2_auto_mean	f2_diff	f1_man_sd	f1_auto_sd	f2_man_sd	f2_auto_sd	f1_rmse	f2_rmse	f1_diff_mean	f1_diff_sd	f2_diff_mean	f2_diff_sd	f1_abs_diff_mean	f1_abs_diff_sd	f2_abs_diff_mean	f2_abs_diff_sd	f1_p	f1_t	f2_p	f2_t	f1_p_paired	f1_t_paired	f2_p_paired	f2_t_paired	f1_r	f2_r
UW_L	3	519.3333	501.3667	17.96667	1068.333	1224.933	156.6	55.08478	36.02976	432.4007	722.5834	32.23089	284.4352	17.96667	32.7726	-156.6	290.8088	31.03333	10.66036	185.0667	264.5385	NA	NA	NA	NA	NA	NA	NA	NA	0.8208917	0.9994179
AH_E	11	750.0909	716.3364	33.75455	1363.455	1357.182	6.272727	48.04676	36.72539	206.4448	243.2686	42.63928	142.5858	33.75455	27.32422	6.272727	149.4005	33.75455	27.32422	104.6727	101.5469	0.07999203	1.851192	0.9486752	0.06520499	0.002154412	4.097141	0.8920157	0.1392518	0.8247586	0.7912796
IY_L	1	612	534.1	77.9	1722	2049.7	327.7	NA	NA	NA	NA	77.9	327.7	77.9	NA	-327.7	NA	77.9	NA	327.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AA_L	2	993	932.65	60.35	1492	1565.85	73.85	60.81118	77.71104	135.7645	162.9881	61.52174	76.31766	60.35	16.89985	-73.85	27.22361	60.35	16.89985	73.85	27.22361	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AA_R	4	904	856.225	47.775	1399.75	1278.4	121.35	100.2597	128.946	112.2716	167.7223	69.68	142.5632	47.775	58.57021	121.35	86.39794	52.225	53.26477	121.35	86.39794	NA	NA	NA	NA	NA	NA	NA	NA	0.8991512	0.883438
AO_E	5	854.4	816.1	38.3	1121	1136.3	15.3	71.14633	71.68406	73.90534	110.6439	53.31917	71.3943	38.3	41.47355	-15.3	77.96679	41.38	37.59371	60.74	41.94935	0.4211063	0.8479594	0.8045024	-0.2571224	0.1078438	2.064965	0.6834668	-0.4388002	0.8313974	0.7108354
ER_R	7	685.2857	667.3571	17.92857	1554.714	1619.914	65.2	55.66182	53.87671	145.3693	91.02936	45.8206	110.0956	17.92857	45.54605	-65.2	95.82105	26.75714	40.17685	78.71429	83.1422	0.5517585	0.6123295	0.3380766	-1.00574	0.3377952	1.041463	0.1219082	-1.800262	0.6546613	0.7646452
AO_L	3	858.3333	813.4333	44.9	1214	1127.933	86.06667	34.96188	26.07956	41.58125	9.716652	56.34196	95.59505	44.9	41.68465	86.06667	50.95501	44.9	41.68465	86.06667	50.95501	NA	NA	NA	NA	NA	NA	NA	NA	0.0904082	-0.9566109
OY_E	1	635	608.6	26.4	938	989.6	51.6	NA	NA	NA	NA	26.4	51.6	26.4	NA	-51.6	NA	26.4	NA	51.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UH_E	1	695	696	1	1060	1087.7	27.7	NA	NA	NA	NA	1	27.7	-1	NA	-27.7	NA	1	NA	27.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EH_N	3	770.3333	734.0667	36.26667	1971.667	1852.367	119.3	9.291573	45.25045	171.643	87.58689	47.06315	242.6516	36.26667	36.73559	119.3	258.7874	36.26667	36.73559	161.7	221.5837	NA	NA	NA	NA	NA	NA	NA	NA	0.9328544	-0.9923762
IH_L	1	714	700.2	13.8	1968	1994.4	26.4	NA	NA	NA	NA	13.8	26.4	13.8	NA	-26.4	NA	13.8	NA	26.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AO_N	2	851.5	794.9	56.6	1133	1218.95	85.95	20.5061	43.55778	19.79899	146.8661	58.90034	145.863	56.6	23.05168	-85.95	166.6651	56.6	23.05168	117.85	121.5517	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EY_N	2	642	639.7	2.3	2388	2466	78	63.63961	13.15219	8.485281	247.4874	35.77401	197.0913	2.3	50.48742	-78	255.9727	35.7	3.252691	181	110.3087	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
