v	N	f1_man_mean	f1_auto_mean	f1_diff	f2_man_mean	f2_auto_mean	f2_diff	f1_man_sd	f1_auto_sd	f2_man_sd	f2_auto_sd	f1_rmse	f2_rmse	f1_diff_mean	f1_diff_sd	f2_diff_mean	f2_diff_sd	f1_abs_diff_mean	f1_abs_diff_sd	f2_abs_diff_mean	f2_abs_diff_sd	f1_p	f1_t	f2_p	f2_t	f1_p_paired	f1_t_paired	f2_p_paired	f2_t_paired	f1_r	f2_r
AE	31	629.5161	636.1613	6.645161	1769.226	1813.342	44.11613	50.88475	48.53388	154.2573	174.1723	17.14372	110.5721	-6.645161	16.06468	-44.11613	103.0661	13.04516	11.30731	56.79355	96.44015	0.6007256	-0.5261532	0.2953843	-1.055733	0.02838358	-2.303108	0.02369496	-2.383211	0.9488695	0.8096943
UW	14	438.8571	435.6143	3.242857	1322.5	1457.821	135.3214	38.32223	38.00174	358.8177	456.2071	38.84603	226.9623	3.242857	40.17172	-135.3214	189.0869	29.74286	25.93079	147.25	179.2314	0.8238742	0.2248237	0.3914359	-0.8723609	0.7673959	0.3020448	0.01898226	-2.677745	0.4459754	0.919762
OW	33	594.7879	586.0182	8.769697	1176.182	1220.221	44.03939	50.89803	56.29724	118.3666	105.4766	36.26165	78.45026	8.769697	35.73076	-44.03939	65.92946	21.79394	29.43092	56.25758	55.52433	0.5092329	0.66379	0.1155478	-1.595697	0.1682048	1.409936	0.0005520243	-3.837239	0.7823118	0.8325762
AW	13	741.0769	724.9923	16.08462	1321.308	1394.646	73.33846	48.77237	47.91707	109.3583	153.7312	30.51525	136.7961	16.08462	26.99083	-73.33846	120.191	20.40769	23.61354	93.83077	103.6085	0.4047064	0.848206	0.1751962	-1.4016	0.05277007	2.148652	0.04813292	-2.200045	0.8442952	0.6289233
UH	4	539.75	529.5	10.25	1258.25	1223.225	35.025	30.82613	28.33125	313.217	286.9001	13.18503	51.22634	10.25	9.576534	35.025	43.1646	10.25	9.576534	35.325	42.8374	NA	NA	NA	NA	NA	NA	NA	NA	0.9510584	0.9934867
OY	2	558	564.05	6.05	1002	1065.95	63.95	93.3381	57.91205	282.8427	231.436	25.77023	73.55899	-6.05	35.42605	-63.95	51.40666	25.05	8.555992	63.95	51.40666	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EY_E	24	528.625	538.4083	9.783333	1832.458	1871.567	39.10833	42.92948	39.21108	245.3459	225.6483	32.86367	199.3509	-9.783333	32.04845	-39.10833	199.6814	21.125	25.71594	97.39167	177.6825	0.4140362	-0.8243379	0.5682662	-0.5747711	0.1483808	-1.495497	0.3472941	-0.9594831	0.6990228	0.6433948
AY_N	8	739	752.3375	13.3375	1379.875	1423.213	43.3375	23.71256	38.09968	118.6103	121.06	47.23189	92.75235	-13.3375	48.43803	-43.3375	87.66729	25.7125	42.35521	62.2375	73.51962	0.4173836	-0.8406275	0.4814426	-0.7232475	0.4616014	-0.7788126	0.2047561	-1.398206	-0.1839475	0.7325868
AY_E	30	663.5	681.6733	18.17333	1330.367	1344.717	14.35	49.36476	70.39893	90.97119	110.3357	41.30636	97.59634	-18.17333	37.72786	-14.35	98.1859	22.72	35.08635	62.35	76.36701	0.2522884	-1.157679	0.5847614	-0.5496278	0.01325867	-2.638354	0.4299285	-0.8005038	0.8588645	0.5384507
ER_R	14	553.2143	557.65	4.435714	1420.071	1410.25	9.821429	68.46468	64.97076	94.2529	122.1099	34.53581	80.52407	-4.435714	35.54266	9.821429	82.93989	28.35	20.4676	71.43571	38.56554	0.8617842	-0.175842	0.8136875	0.2382325	0.6482596	-0.4669578	0.6649965	0.443073	0.8593731	0.7348639
EH_N	10	679.9	675.19	4.71	1595.9	1608.59	12.69	38.0831	50.32423	143.436	184.5438	34.12171	55.32996	4.71	35.62313	-12.69	56.76823	24.11	25.45145	36.03	44.2624	0.8162872	0.2360065	0.8657124	-0.17169	0.6856675	0.4181083	0.4975232	-0.7068972	0.7080195	0.971047
IY_E	21	421.7619	430.1952	8.433333	2090.333	2111.162	20.82857	44.65524	36.12788	155.3227	144.1262	28.35562	128.7544	-8.433333	27.74106	-20.82857	130.1963	20.96667	19.56176	90.58095	93.76266	0.5051	-0.6728172	0.6548232	-0.4504619	0.1788783	-1.393112	0.471996	-0.7331124	0.7840294	0.6241925
AH_N	10	682.9	695.74	12.84	1195.4	1232.48	37.08	36.77998	34.94539	85.2411	71.10816	37.02121	85.61871	-12.84	36.60152	-37.08	81.34725	23.46	30.18827	68.58	54.03032	0.4339872	-0.8003228	0.3052405	-1.056311	0.2960432	-1.109343	0.1833343	-1.441441	0.4801542	0.470609
AA_E	25	719.32	720.028	0.708	1297.32	1314.892	17.572	45.30151	50.209	117.4878	141.0052	24.47323	68.49869	-0.708	24.96743	-17.572	67.57168	18.412	16.45502	51.1	46.55709	0.9584715	-0.05234733	0.634393	-0.4787043	0.8884335	-0.1417847	0.2058644	-1.300249	0.8682617	0.8788854
AA_N	8	743.5	736.025	7.475	1284.375	1288.438	4.0625	17.88854	19.13708	101.8261	101.4482	19.71548	39.19332	7.475	19.50309	-4.0625	41.67373	16.375	11.73806	32.5125	23.3985	0.4331733	0.8070901	0.9374156	-0.0799411	0.3142587	1.084058	0.7907215	-0.2757249	0.4467226	0.9159466
AO_R	16	568.1875	528.1375	40.05	943.0625	891.1187	51.94375	48.65418	30.21584	74.6775	74.27069	56.1732	82.15673	40.05	40.6799	51.94375	65.73949	41.2625	39.36611	63.36875	54.00375	0.009760499	2.797117	0.0578021	1.972747	0.001315116	3.938062	0.006464906	3.160581	0.5527997	0.6104181
IH_R	5	459	471.06	12.06	2109	2114.52	5.52	44.06813	40.3277	276.3983	238.9911	17.10152	58.38942	-12.06	13.55629	-5.52	64.98898	12.06	13.55629	41.76	45.62656	0.6637507	-0.4514402	0.9738969	-0.03378024	0.1175501	-1.98926	0.8586159	-0.189926	0.9522323	0.9786224
AE_E	26	627.1923	632.25	5.057692	1734.077	1780.1	46.02308	51.26638	49.02175	103.1279	155.7535	16.87024	114.285	-5.057692	16.41297	-46.02308	106.6802	12.51154	11.54076	57.05385	100.986	0.7177102	-0.3635765	0.2157399	-1.256272	0.1286908	-1.571273	0.0372869	-2.199777	0.9474075	0.7319476
IH_E	19	522.3158	515.7895	6.526316	1757.579	1772.232	14.65263	34.52705	38.48314	136.0381	136.3302	24.94075	60.92011	6.526316	24.73135	-14.65263	60.75207	18.23158	17.48549	42.37895	44.9632	0.5856031	0.5502243	0.7420935	-0.3316275	0.2650888	1.150263	0.3070257	-1.051311	0.7757263	0.9004986
