v	N	f1_man_mean	f1_auto_mean	f1_diff	f2_man_mean	f2_auto_mean	f2_diff	f1_man_sd	f1_auto_sd	f2_man_sd	f2_auto_sd	f1_rmse	f2_rmse	f1_diff_mean	f1_diff_sd	f2_diff_mean	f2_diff_sd	f1_abs_diff_mean	f1_abs_diff_sd	f2_abs_diff_mean	f2_abs_diff_sd	f1_p	f1_t	f2_p	f2_t	f1_p_paired	f1_t_paired	f2_p_paired	f2_t_paired	f1_r	f2_r
AA_L	3	795	772.9	22.1	1274	1305	31	49.0306	24.68583	134.8592	178.4235	33.83691	69.35046	22.1	31.38136	-31	75.97848	31.5	15.13374	59.2	44.24104	NA	NA	NA	NA	NA	NA	NA	NA	0.8380145	0.9194814
AW_N	12	788.0833	741	47.08333	1396.333	1538.967	142.6333	39.0465	68.59064	97.74767	150.7129	72.51175	167.4252	47.08333	57.59842	-142.6333	91.57373	49.76667	55.08241	142.6333	91.57373	0.05394904	2.066512	0.01277674	-2.750547	0.01632244	2.8317	0.00021811	-5.395613	0.5435929	0.8105994
UW_L	4	422.75	404.7	18.05	929.75	951.425	21.675	44.28977	31.02193	124.698	133.852	33.17243	40.34777	18.05	32.13736	-21.675	39.29609	18.65	31.67728	23.475	37.89225	NA	NA	NA	NA	NA	NA	NA	NA	0.6882084	0.9562524
IH_R	9	468.1111	486.2333	18.12222	1977.667	2058.256	80.58889	49.26064	31.77782	162.9601	272.5928	36.08405	158.876	-18.12222	33.09606	-80.58889	145.2253	22.63333	29.80797	111.5889	119.9508	0.3697861	-0.9274238	0.460019	-0.7612563	0.1390714	-1.642693	0.1345249	-1.664769	0.7477634	0.8978982
UH_E	5	514	492.88	21.12	1166.8	1174.66	7.86	71.9618	77.97959	74.42916	69.54271	32.8869	36.55935	21.12	28.18452	-7.86	39.91877	25.48	23.24644	31.26	21.19547	0.6681433	0.4450644	0.867316	-0.172542	0.1691274	1.675592	0.6824794	-0.4402815	0.9324471	0.8483743
AH_N	8	731	713.4125	17.5875	1281.5	1300.4	18.9	61.77378	35.24881	119.4643	140.1662	54.66296	64.50126	17.5875	55.32985	-18.9	65.92812	42.8875	36.2326	50.825	42.45646	0.4986562	0.6994218	0.7759767	-0.2902618	0.3984899	0.8990619	0.4441464	-0.8108417	0.4585832	0.8830105
AY_R	1	639	589.8	49.2	1411	1454.4	43.4	NA	NA	NA	NA	49.2	43.4	49.2	NA	-43.4	NA	49.2	NA	43.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OY_E	3	556	535.8667	20.13333	969.3333	1236.533	267.2	37.24245	40.72153	91.26518	325.016	32.29727	328.4471	20.13333	30.92965	-267.2	233.9283	29.86667	15.05468	267.2	233.9283	NA	NA	NA	NA	NA	NA	NA	NA	0.6885935	0.9986007
AA_N	10	797.1	771.39	25.71	1475.8	1476.43	0.63	40.82605	66.28411	77.93701	95.06407	48.87512	47.21086	25.71	43.81493	-0.63	49.76018	29.03	41.44657	43.11	20.28664	0.3128882	1.044367	0.9872547	-0.01620649	0.09648996	1.855581	0.9689379	-0.04003673	0.7650445	0.852697
AO_N	3	746	724.8667	21.13333	1198.667	1226.767	28.1	29.8161	31.13219	87.55189	85.49277	23.34009	28.35131	21.13333	12.13315	-28.1	4.613025	21.13333	12.13315	28.1	4.613025	NA	NA	NA	NA	NA	NA	NA	NA	0.921636	0.9988617
IY_L	2	446	452.85	6.85	1971	1978.25	7.25	18.38478	1.343503	56.56854	57.34636	13.86092	7.270832	-6.85	17.04127	-7.25	0.7778175	12.05	9.687363	7.25	0.7778175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AO_L	6	734	701.7667	32.23333	1035	1024.767	10.23333	15.7734	31.85823	81.15664	130.5766	41.41268	52.99456	32.23333	28.48204	10.23333	56.96001	35	24.24896	43.43333	33.26203	0.060176	2.221012	0.8743573	0.1630421	0.03926729	2.772105	0.6782581	0.4400709	0.4502575	0.9621544
AW_L	1	748	746.7	1.3	1146	1168.9	22.9	NA	NA	NA	NA	1.3	22.9	1.3	NA	-22.9	NA	1.3	NA	22.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AY_L	1	778	781.7	3.7	1266	1362.6	96.6	NA	NA	NA	NA	3.7	96.6	-3.7	NA	-96.6	NA	3.7	NA	96.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IY_N	1	498	479.5	18.5	1980	1963.1	16.9	NA	NA	NA	NA	18.5	16.9	18.5	NA	16.9	NA	18.5	NA	16.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AE_L	1	686	701.7	15.7	1617	1624.5	7.5	NA	NA	NA	NA	15.7	7.5	-15.7	NA	-7.5	NA	15.7	NA	7.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
