vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
AA	1	SORRY	719.6	1635.0	2882.5	101.0	214.7	1164.5	79.912	79.875	79.985	0.11	44	6	4	2	3	1			690.8	1601.6	724.7	1639.4	749.4	1672.0	748.7	1684.9	738.2	1685.7	6	710	1639	3044	5.60031	1	sorry	79.9102
AO	1	BORN	668.2	967.1	2642.9	119.6	175.4	544.2	88.368	88.315	88.474	0.159	64	6	4	2	1	3			604.2	937.6	672.3	972.9	675.0	1020.3	668.9	1132.9	662.1	1297.0	6	681	984	2647	54.6001	1	born	88.3805
AA	1	HARTFORD	792.6	1633.7	2037.1	94.5	200.7	2030.5	88.971	88.944	89.024	0.08	44	6	4	2	0	4			836.8	1595.6	789.4	1637.3	760.6	1686.7	735.7	1602.2	703.6	1525.4	6	914	1556	2253	44.60004	1	Hartford	88.9424
AE	1	DAD	598.8	2307.7	3362.6	48.1	116.8	394.5	90.317	90.277	90.397	0.12	3	1	4	2	3	0			559.8	2350.0	602.8	2301.7	666.8	2246.9	731.1	2141.1	756.6	2005.8	4	592	2325	3245	3.1423	1	dad	90.3094
AO	1	BORN	590.9	1009.1	2461.4	75.4	145.3	211.2	90.657	90.627	90.717	0.09	64	6	4	2	1	3			589.3	1034.6	596.0	1019.9	632.3	1102.6	656.0	1167.9	676.2	1251.5	5	685	1232	2358	54.6001	1	born	90.6976
AE	1	DAD	648.4	2292.9	3354.0	81.5	175.4	248.7	94.876	94.819	94.989	0.17	3	1	4	2	3	0			606.1	2340.1	651.5	2280.3	705.8	2098.6	735.8	1891.6	681.7	1681.9	4	617	2311	3087	3.1423	1	dad	94.8587
IY	1	MARINES	555.1	2259.5	2451.6	57.7	116.9	1065.0	95.568	95.528	95.648	0.12	11	4	4	2	7	3			561.9	2117.8	555.3	2278.4	573.2	2153.4	571.3	2368.2	558.4	2719.3	5	548	2755	3374	11.4427	1	(ma)rines	95.6167
AY	1	MY	1095.1	1739.5	3186.0	223.6	137.8	420.3	101.957	101.916	102.355	0.439	41	0	0	0	2	0			1056.5	1793.0	793.8	2079.6	684.4	2415.6	566.2	2587.3	476.2	2696.1	4	1091	1748	3057	41.0002	1	my	101.9641
AO	1	BORN	689.6	949.9	2588.4	61.4	77.7	229.8	104.952	104.912	105.032	0.12	64	6	4	2	1	3			654.2	925.3	692.1	954.5	715.2	996.7	724.4	1094.0	719.5	1213.2	6	717	990	2576	54.6001	1	born	104.9705
IY	1	BELIEVE	461.4	2241.8	3406.8	118.1	179.5	297.4	108.193	108.16	108.26	0.1	11	3	2	2	7	0			490.3	2078.2	457.7	2260.0	436.6	2372.4	428.2	2499.2	452.6	2495.7	4	427	2321	3102	11.3227	1	(be)lieve	108.2172
EY	1	CAPE	563.9	2703.5	3723.9	259.2	390.8	914.7	108.402	108.389	108.509	0.12	21	1	1	1	6	0			558.7	2652.0	540.0	2666.3	496.6	2691.1	487.4	2527.4	593.4	2402.7	4	530	2570	3149	21.111	1	cape	108.4338
AA	1	COD	949.6	1839.6	2864.6	128.4	163.9	547.0	108.699	108.619	108.859	0.24	5	1	4	2	6	0			949.5	1904.2	949.6	1832.2	981.6	1833.6	944.0	1816.6	842.6	1787.1	4	966	1805	2780	5.142	1	cod	108.7341
AE	1	GRANDMOTHER	648.6	1811.7	2267.7	92.0	196.3	733.7	110.457	110.414	110.543	0.129	39	4	1	2	8	2			638.4	1793.0	650.3	1815.0	653.7	1718.6	645.2	1494.9	655.0	1466.2	6	660	1945	2472	3.44285	1	grandmother	110.4957
AH	2	GRANDMOTHER	679.9	1281.6	2612.4	127.3	110.9	860.1	110.664	110.644	110.703	0.059	6	3	3	2	2	1			673.6	1269.9	680.4	1283.4	677.0	1294.8	649.8	1298.3	613.0	1338.5	5	667	1262	2559	6.33121	1	(grand)mother	110.651
AO	1	BORN	615.4	1030.0	2686.5	91.3	180.7	203.2	111.167	111.113	111.274	0.161	64	6	4	2	1	3			614.1	1008.2	615.4	1033.4	635.4	1115.7	659.4	1172.1	697.1	1219.6	5	615	1041	2670	54.6001	1	born	111.1743
AW	1	SOUTH	918.5	1668.6	3045.7	88.5	173.8	311.4	113.174	113.143	113.292	0.149	42	3	3	1	3	0			917.5	1674.1	946.2	1566.3	940.9	1520.5	883.4	1505.9	784.3	1386.6	5	962	1529	2860	42.3313	1	south	113.2083
AE	1	AND	634.8	2706.9	3403.7	165.0	170.6	550.1	115.852	115.716	116.125	0.409	3	4	4	2	0	3			712.9	2883.7	634.4	2676.3	670.1	1720.5	866.0	1885.0	723.0	1919.1	5	775	2958	3485	3.44203	1	and	115.7536
AY	1	MY	1034.5	1749.3	2674.7	302.8	149.5	3082.0	117.498	117.427	117.787	0.36	41	0	0	0	2	0			1034.5	1753.3	950.2	1993.8	724.3	2261.4	579.6	2584.2	524.5	2699.6	5	1033	1670	2932	41.0002	1	my	117.4638
AH	1	OTHER	907.2	1450.5	2861.1	80.8	113.7	350.2	118.761	118.721	118.841	0.12	6	3	3	2	0	1			899.8	1506.8	908.9	1455.6	868.1	1492.9	768.2	1503.4	702.3	1511.8	5	888	1511	2880	6.33101	1	other	118.7772
OW	1	BOTH	654.3	1103.1	2582.9	85.4	86.7	273.0	120.512	120.493	120.594	0.101	62	3	3	1	1	0			648.2	1101.8	686.6	1106.2	687.7	1099.7	652.3	1078.0	611.2	1072.1	6	683	1104	2801	62.3311	1	both	120.526
AO	1	MALL	959.4	1285.0	2640.9	213.8	235.2	1288.3	143.327	143.254	143.473	0.219	53	5	4	2	2	0			994.8	1185.8	960.0	1287.9	991.8	1284.9	980.4	1239.9	905.8	1164.8	6	1019	1329	3346	53.5422	1	mall	143.3713
