vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
EH	1	BED	831.4	1926.5	3319.6	132.1	329.7	780.4	280.104	280.054	280.203	0.149	2	1	4	2	1	0			772.5	1774.4	837.2	1937.8	859.5	2028.6	826.6	2008.6	709.3	1751.3	4		848	1982	3390	2.1421	1	bed	280.1145
AA	1	GOT	810.4	1857.1	2671.9	66.8	283.0	1255.8	293.577	293.551	293.63	0.079	5	1	4	1	6	0			732.5	1860.6	824.7	1843.2	903.9	1794.6	964.1	1754.9	980.7	1732.2	5		988	1733	2467	5.1416	1	got	293.6081
AO	1	CAUGHT	921.3	1116.3	2898.1	75.8	248.0	287.8	293.827	293.771	293.94	0.169	53	1	4	1	6	0			877.6	1154.6	921.8	1119.7	871.3	1160.8	889.4	1113.4	873.4	1134.8	6		917	1048	3071	53.141	1	caught	293.8378
AO	1	CAUGHT	851.9	1156.8	2635.4	75.0	124.2	197.9	297.116	297.069	297.21	0.141	53	1	4	1	6	0			788.1	1111.0	853.8	1160.5	873.1	1206.6	898.9	1312.5	905.2	1428.8	6		939	1210	2769	53.141	1	caught	297.1152
AY	1	LIKE	706.6	1642.4	3123.5	83.9	159.3	278.6	297.955	297.919	298.07	0.151	47	1	6	1	7	0			703.5	1587.1	697.9	1772.0	645.8	2048.5	542.2	2334.4	471.4	2494.4	4		706	1686	3070	47.1617	1	like	297.9614
AY	1	FIND	804.9	1842.2	2819.8	84.2	267.3	264.8	303.887	303.846	303.937	0.091	41	4	4	2	1	3		s	756.5	1475.1	794.0	1727.3	802.8	1874.6	772.4	1921.8	733.3	1999.0	5		813	1857	2825	41.44213	1	find	303.888
AW	1	OUT	851.0	1807.6	2746.9	75.7	278.5	243.1	304.043	304.017	304.227	0.21	42	1	4	1	0	0			899.7	1678.3	883.7	1300.5	795.2	1228.8	740.0	1172.0	701.8	1129.5	5		910	1537	2680	42.141	1	out	304.0698
OW	1	GO	644.8	1035.1	2876.1	133.3	109.3	312.2	306.623	306.611	306.661	0.05	63	0	0	0	6	0			644.8	1035.1	649.7	1008.6	650.9	972.7	646.1	964.4	635.3	962.4	6		658	968	2946	62.0006	1	go	306.6361
AE	1	BACK	725.7	2055.6	3013.7	83.4	374.6	426.4	306.734	306.711	306.781	0.07	3	1	6	1	1	0			727.1	1935.8	725.1	2063.0	719.9	2095.3	711.7	2079.1	695.5	2131.5	4		712	1958	2799	3.1611	1	back	306.7445
AE	1	THAT	691.6	1921.2	2989.5	58.1	244.2	303.2	307.151	307.121	307.212	0.091	3	1	4	1	3	0			677.5	1887.7	693.7	1922.3	703.9	1898.4	703.7	1874.7	663.9	1892.0	4		689	1906	2909	3.1413	1	that	307.1464
ER	1	PERSON	592.2	1706.7	2416.9	51.7	629.0	476.7	307.318	307.301	307.351	0.05	94	3	4	1	1	1			595.7	1678.7	592.2	1706.7	584.7	1728.6	575.7	1714.5	563.7	1719.7	5		592	1754	2419	94.60011	1	person	307.3186
AE	1	MAT	819.5	2149.8	3129.3	119.4	194.2	659.8	327.472	327.422	327.571	0.149	3	1	4	1	2	0			800.2	2138.3	822.7	2148.3	861.4	2172.5	883.2	2256.2	833.6	2257.0	4		840	2142	3089	3.1412	1	mat	327.483
AO	1	SMALLER	840.2	1124.0	2553.6	51.6	342.5	397.7	329.218	329.195	329.265	0.07	53	5	4	2	2	1			784.4	1168.4	844.5	1120.1	862.8	1084.7	862.7	1080.4	855.3	1086.4	6		880	1217	2770	53.54201	1	smaller	329.2413
AH	1	RUG	755.7	1153.3	3216.2	261.1	830.2	321.6	329.727	329.684	329.814	0.13	6	1	6	2	7	0			728.1	941.6	769.6	1187.3	740.3	1046.8	746.2	1080.3	623.1	868.5	5		801	1305	3116	6.1627	1	rug	329.7484
UW	1	DO	496.5	1975.8	2802.8	62.6	330.8	258.1	346.263	346.256	346.356	0.1	73	0	0	0	3	0			510.1	1903.1	519.6	1599.6	514.7	1252.9	510.4	1107.2	569.7	1061.9	5		516	1856	2746	73.0003	1	do	346.2803
IH	1	DIFFERENT	582.5	1997.0	2875.0	85.6	213.3	183.0	350.057	350.04	350.09	0.05	1	3	2	1	3	1			568.6	2010.7	582.5	1997.0	602.0	1981.6	608.2	1942.2	606.9	1823.9	5		612	1974	2871	1.32132	1	different	350.0723
AA	1	PROBABLY	826.7	1689.8	2701.1	70.7	279.6	369.5	363.278	363.238	363.359	0.121	5	1	1	2	8	1			766.8	1691.2	828.6	1683.8	836.6	1623.3	821.0	1444.8	793.7	1203.6	5		831	1685	2733	5.11282	1	probably	363.282
AO	1	ALL	812.0	1139.0	2739.5	98.1	108.7	278.9	392.719	392.693	392.772	0.079	53	5	4	2	0	0			809.7	1134.2	812.7	1142.1	816.0	1179.8	809.5	1242.4	793.5	1279.0	5		818	1171	2783	53.542	1	all	392.6878
UW	1	SCHOOL	540.3	930.2	2577.7	268.5	151.4	1218.6	394.696	394.676	394.736	0.06	72	5	4	2	6	0			575.7	969.7	543.2	925.9	576.5	936.4	692.9	1319.7	710.7	1370.8	5		581	908	2111	72.5426	1	school	394.7405
OW	1	GO	606.8	1087.1	3234.4	109.4	77.2	290.2	394.984	394.955	395.115	0.16	63	0	0	0	6	0			604.6	1093.3	617.6	1084.8	621.2	1071.6	611.7	1240.8	553.3	1598.9	4		607	1083	3038	62.0006	1	go	395.0117
EH	1	VERY	656.9	2104.1	2676.2	84.0	377.8	398.0	395.799	395.766	395.865	0.099	2	6	4	2	1	1			634.7	2076.8	659.8	2103.4	675.8	2036.4	679.5	1871.7	672.8	1659.4	5		643	2086	2757	2.60011	1	very	395.7899
IH	1	STRICT	683.3	2097.5	2786.0	93.1	312.0	191.3	396.229	396.205	396.276	0.071	1	1	6	1	8	3			684.5	2081.5	682.1	2100.5	662.8	2154.8	620.0	2238.7	558.1	2270.3	5		693	2078	2779	1.16183	1	strict	396.2205
EH	1	DRESS	696.5	1750.1	2806.7	54.1	470.1	150.3	396.485	396.465	396.526	0.061	2	3	4	1	8	0			693.4	1799.2	697.3	1744.9	708.2	1697.1	724.3	1660.0	729.2	1642.8	4		714	1672	2818	2.3418	1	dress	396.4989
OW	1	CODE	654.6	1054.1	2610.6	129.3	203.7	787.1	396.707	396.696	396.826	0.13	62	1	4	2	6	0			664.3	1074.2	621.1	1045.3	618.2	1026.3	579.0	1039.5	570.5	1089.5	6		644	1059	2675	62.142	1	code	396.7381
AH	1	BUTTON	741.5	1204.5	2554.3	28.5	395.9	547.1	398.104	398.067	398.177	0.11	6	1	4	1	1	1			716.6	1095.8	743.2	1212.2	783.6	1318.5	790.0	1417.8	770.7	1522.7	5		822	1417	3024	6.14111	1	button	398.136
AW	1	DOWN	786.9	1746.5	4615.4	62.2	266.5	1296.4	398.425	398.388	398.537	0.149	42	4	4	2	3	0			779.1	1802.5	837.9	1662.7	922.6	1582.9	924.9	1489.3	928.4	1414.9	3		873	1435	3309	42.4423	1	down	398.471
ER	1	SHIRTS	674.1	1610.2	2904.6	69.5	392.0	417.3	398.764	398.727	398.837	0.11	94	1	4	1	5	3			682.6	1624.2	673.4	1609.8	664.8	1634.9	654.2	1727.5	614.3	1699.2	4		670	1552	2769	94.60053	1	shirts	398.7612
AA	1	COLLAR	877.7	1450.6	2754.5	62.7	300.5	250.7	399.398	399.358	399.478	0.12	5	5	4	2	6	1			862.9	1422.2	879.6	1436.0	904.1	1330.9	934.2	1395.7	899.8	1404.2	5		950	1396	2840	5.54201	1	collar	399.4383
OY	1	BOYS	608.6	989.6	2651.3	116.0	157.4	478.5	401.111	401.041	401.251	0.21	61	3	4	2	1	0			606.6	901.1	610.8	1008.3	696.8	1236.5	719.3	1568.3	587.4	1625.5	5		635	938	2633	61.0021	1	boys	401.0595
ER	1	GIRLS	633.3	1582.4	2873.2	128.2	155.7	986.8	402.03	402.01	402.07	0.06	94	5	4	2	6	3			603.2	1590.4	637.5	1581.3	677.1	1572.6	716.4	1572.8	754.0	1604.9	4		744	1426	2286	94.60053	1	girls	402.0674
