vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
AE	1	BACK	490.7	2390.0	2918.0	55.9	303.8	279.8	52.392	52.355	52.465	0.11	3	1	6	1	1	0			469.7	2430.1	493.2	2386.8	533.5	2367.7	565.4	2348.5	574.9	2303.9	4	492	2390	2950	3.1611	1	back	52.3905
IH	1	CITY	523.1	2058.1	2834.2	60.4	113.6	166.4	53.012	52.995	53.045	0.05	1	1	4	1	3	1			520.1	2043.3	523.1	2058.1	528.5	2075.4	532.6	2044.5	530.5	2013.2	4	523	2068	2835	1.14131	1	city	53.009
AO	1	ALWAYS	892.7	1237.8	1646.3	119.0	177.0	1669.4	69.027	68.983	69.114	0.131	53	5	4	2	0	1			793.7	1241.4	891.8	1233.9	867.6	1152.2	843.3	1141.1	823.8	1094.8	6	915	1233	3072	53.54204	1	always	69.0449
IY	1	EAST	467.2	2749.7		270.3	83.3		69.998	69.964	70.065	0.101	11	3	4	1	0	3			461.9	2741.0	469.8	2751.2	475.1	2736.0	444.8	2715.9	418.7	2699.4	3	485	2708	4690	11.34103	1	east	70.0237
AO	1	ALWAYS	725.7	1337.2	2091.8	467.4	645.3	699.6	71.415	71.392	71.462	0.07	53	5	4	2	0	1			585.1	1447.7	758.1	1322.8	821.2	1124.1	853.7	1129.9	835.7	1102.4	6	826	1098	3214	53.54204	1	always	71.4529
EY	1	SAINT	593.0	2583.7	4904.9	213.7	30.9	1527.6	80.015	79.966	80.065	0.099	21	4	4	2	3	3			528.9	2461.9	565.5	2516.3	593.4	2588.5	578.1	2640.3	561.5	2626.9	3	608	2467	2594	21.44233	1	saint	80.0154
AE	1	FRANCIS	543.0	2522.1	4384.3	106.0	72.7	335.9	80.293	80.276	80.326	0.05	33	4	4	2	8	4			553.8	2511.7	543.0	2522.1	524.3	2531.9	506.2	2536.9	485.7	2530.3	3	594	2424	2519	3.44284	1	Francis	80.2835
EY	1	SALES	634.9	2191.7	4275.4	242.3	199.6	523.7	80.836	80.796	80.966	0.17	21	5	4	2	3	3			621.2	2181.5	613.6	2194.0	578.6	2301.6	568.9	2327.4	573.6	2226.5	3	617	1975	2599	21.5423	1	Sales	80.8347
IY	1	STREET	435.2	2452.5	4571.6	165.8	119.8	365.8	82.863	82.833	82.924	0.091	11	1	4	1	8	0			454.7	2333.1	435.2	2467.6	459.2	2554.0	466.9	2611.8	480.7	2565.5	3	423	2434	2574	11.1418	1	street	82.8717
EH	1	THEN	802.5	1761.4	2658.4	97.6	154.1	504.3	84.229	84.206	84.276	0.07	2	4	4	2	3	0			799.4	1784.7	802.6	1757.8	804.5	1701.1	797.9	1636.4	761.5	1537.5	5	795	1767	2735	2.4423	1	then	84.2302
EH	1	THERE	537.7	1985.1	2237.2	153.5	192.4	863.2	84.959	84.935	85.006	0.071	24	6	4	2	3	0			516.9	2045.1	539.7	1978.3	552.4	1891.0	570.3	1794.1	585.9	1707.8	4	498	2037	2445	24.6003	1	there	84.9379
