ChristieL, 20, F, w, 12, Utica, 2006

vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants
AY	1	HIGH	992.9	1584.3	2883.9	170.2	346.1	298.8	62.623	62.627	62.727	0.1	41	0	0	0	0	0			958.6	1517.6	885.7	1725.3	835.5	1923.7	734.0	1967.5	637.2	1966.2	5	
UW	1	SCHOOL	528.5	862.5	2539.4	117.3	111.9	2145.2	62.907	62.887	62.947	0.06	72	5	4	2	6	0			519.2	854.6	530.3	864.2	542.8	875.8	551.7	898.4	558.7	935.5	6	
AY	1	I	840.4	1094.1	2933.3	126.7	166.5	153.7	63.02	62.976	63.107	0.131	41	0	0	0	0	0		m	797.4	1131.2	839.5	1088.6	798.9	1064.8	740.8	1069.8	677.8	1029.6	5	
IH	1	IN	561.7	2047.4	3020.6	96.9	730.6	523.1	63.286	63.266	63.326	0.06	1	4	4	2	0	0			526.5	1950.8	566.5	2063.1	611.7	2208.8	655.1	2289.8	681.4	2281.8	5	
OW	1	ONLY	697.5	1132.1	2954.3	115.3	166.0	401.2	64.121	64.114	64.164	0.05	62	4	4	2	0	1			697.5	1132.1	694.4	1102.8	686.7	1034.6	687.5	1015.3	689.1	1047.5	6	
AY	1	LIKE	684.3	1689.4	3297.0	85.5	237.6	642.4	64.292	64.294	64.384	0.09	47	1	6	1	7	0			671.5	1722.9	662.3	1935.2	648.4	2131.4	593.1	2283.3	484.1	1997.3	5	
UW	1	TWO	556.9	1569.3	2213.6	294.1	514.3	983.3	64.53	64.513	64.563	0.05	73	0	0	0	3	0			599.8	1646.7	556.9	1569.3	485.9	1489.3	481.4	1485.4	497.3	1551.8	6	
IH	1	YEARS	512.4	2628.1	3560.9	232.7	168.9	691.0	64.65	64.613	64.723	0.11	14	6	4	2	9	3			504.2	2643.7	516.1	2625.0	572.7	2564.0	628.2	2465.6	635.5	2488.6	3	
AH	0	THIS	556.1	1670.3	2875.3	130.2	421.9	300.8	64.87	64.853	64.903	0.05	6	3	4	1	3	0			551.8	1651.9	556.6	1674.5	553.0	1716.7	546.9	1837.4	546.8	1904.8	5	
AY	1	MY	840.4	1770.3	2986.6	140.9	510.9	756.5	65.101	65.084	65.173	0.089	41	0	0	0	2	0		m	808.8	1711.2	618.8	1232.3	544.1	804.7	616.7	759.0	500.8	744.5	6	
